Date,UHI,NDVI,Population,Albedo,NO2_Total,NO2_Tropospheric,NO2_Stratospheric,Aerosol_Index,Cloud_Fraction,GHSL_Built
2022-09-09,0.8100787069571069,5683.0,7332.75341796875,0.12207142857142857,0.00010245458235270046,5.868842148748538e-05,4.499526450935184e-05,-0.6403205074357362,0.34311353064153977,13.0
2022-09-25,0.5221700632466444,4415.0,7332.75341796875,0.122,0.00010506388280730063,6.186429367820079e-05,4.367922298382495e-05,-0.16659194379598288,0.24416469185947576,13.0
2022-10-11,0.3915024595923846,4173.0,7332.75341796875,0.13325,0.00011210153015771659,7.232701634232443e-05,4.199046722291069e-05,0.2877315368119649,0.07610929202184964,13.0
2022-10-27,-0.13067322557974137,4233.0,7332.75341796875,0.13375,0.00012319045921299659,7.956083220669752e-05,4.111287842279818e-05,0.48168649741687625,0.1389899731376407,13.0
2022-11-12,-0.13190723822913242,4002.0,7332.75341796875,0.1273125,0.00013222338764903274,9.194934395648658e-05,4.3858997455714e-05,0.04750579504284971,0.06015747404645555,13.0
2022-11-28,-0.2546043569922958,3930.0,7332.75341796875,0.12612500000000001,0.00014169122621602708,9.872444753480987e-05,4.1809223877496686e-05,0.21545423222503887,0.05069591593964121,13.0
2022-12-14,-1.0377470133520674,3814.0,7332.75341796875,0.12662500000000002,0.00016800644666704304,0.00013008769587602022,4.200443563716348e-05,0.1137115205354848,0.11606459625067518,13.0
2022-12-30,1.0776950105411185,4602.0,7332.75341796875,0.11891666666666667,0.00017410935008200704,0.00013549022857631122,4.251926812471051e-05,-0.05474480541719581,0.3418833955231094,13.0
2023-01-15,-0.5385003513703559,4021.0,7332.75341796875,0.1233125,0.00013357958292740447,0.00012201626984013134,3.884575569444637e-05,-0.1113654579908495,0.278886654861651,13.0
2023-01-31,-1.0183794799719017,3540.0,7332.75341796875,0.124125,0.00010144809059198386,6.57605320289687e-05,4.016899736871881e-05,0.2509755838869199,0.0783865962461475,13.0
2023-02-16,-0.3229318341531915,3388.0,7332.75341796875,0.121125,0.00010857569067173996,7.15174751163514e-05,4.6667557051105403e-05,0.1401090403277618,0.12201499824793782,13.0
2023-03-04,0.49817709065356297,3257.0,7332.75341796875,0.11837500000000001,0.00010996496087021177,6.169869823465948e-05,5.1879938045875455e-05,-0.10717013067122519,0.10555642935239794,13.0
2023-03-20,0.8260758959943857,3592.0,7332.75341796875,0.1238,0.00010096098045814617,5.565572178653522e-05,5.323739576921601e-05,-0.40801291508621906,0.20851549198403027,13.0
2023-04-05,1.4953408292340313,3427.0,7332.75341796875,0.1268125,0.00011414757055757585,5.620760591854541e-05,5.793996366449349e-05,0.520700755012044,0.01446866859603028,13.0
2023-04-21,0.47024877020378497,4043.0,7332.75341796875,0.1285625,0.00011533819298613974,6.298233901280499e-05,5.9077570818253224e-05,-0.3331497376682303,0.26053431783260333,13.0
2023-05-07,0.8369529163738392,3864.0,7332.75341796875,0.1239375,0.00013096637768926332,7.05227538477556e-05,6.044362378291572e-05,0.8148517238385307,0.016568958828618235,13.0
2023-05-23,1.2382220660576166,3942.0,7332.75341796875,0.1215,0.00011890904875579149,6.301723269795361e-05,6.405340703057693e-05,-0.3187605653207055,0.19204830015013047,13.0
2023-06-08,-0.7084427266338906,3972.0,7332.75341796875,0.125,0.00012348237026728052,5.788287231370132e-05,6.261112807138958e-05,0.24140896830563313,0.12186870986535014,13.0
